from,to,weight,relationship,konfliktpotenzial,timedefinition
mifa,afs,5,1,99,7
mifa,hf,2,1,99,7
mifa,rf,3,1,99,7
mifa,hef,3,1,99,7
afs,hf,3,1,4,1
afs,rf,3,1,99,1
afs,hef,4,1,99,1
afs,ee,3,1,99,1
afs,be,3,1,99,1
afs,se,4,1,4,1
afs,rhs,1,1,99,1
afs,jh,1,1,99,1
afs,wh,1,1,99,1
afs,ks,1,2,99,1
hf,rf,3,1,99,1
hf,hef,4,1,99,1
hf,ee,3,1,99,1
hf,rhs,1,1,99,1
hf,be,3,1,99,1
hf,se,3,1,99,1
rf,hef,3,1,99,1
rf,be,1,1,99,1
rf,ee,3,1,99,1
rf,se,1,1,99,1
rf,rhs,1,1,99,1
hef,ee,5,1,99,1
hef,be,4,1,99,1
hef,se,4,1,99,1
hef,rhs,3,1,99,1
be,se,3,1,99,1
be,rhs,1,1,99,1
rhs,fs,1,2,99,1
rhs,se,1,1,99,1
rhs,ah,5,1,99,7
rhs,jh,4,1,99,1
rhs,wh,4,1,99,1
rhs,bh,4,1,99,7
rhs,ks,1,2,99,1
be,ks,1,2,99,1
jh,hf,1,1,99,1
jh,rf,1,1,99,1
jh,hef,1,1,99,1
jh,ee,1,1,99,1
jh,be,1,1,99,1
jh,se,1,1,99,1
jh,ah,3,1,99,7
jh,wh,4,1,99,1
jh,bh,4,1,99,7
jh,ks,1,2,99,1
wh,hf,1,1,99,1
wh,rf,1,1,99,1
wh,hef,1,1,99,1
wh,ee,1,1,99,1
wh,be,1,1,99,1
wh,se,1,1,99,1
wh,ah,3,1,99,7
wh,bh,4,1,99,7
wh,ks,1,2,99,1
bh,ah,4,1,99,7
of,mifa,3,1,99,7
of,afs,4,1,99,1
of,hf,4,1,99,1
of,rf,3,1,99,1
of,hef,4,1,99,1
of,ee,3,1,99,1
of,be,4,1,99,1
of,se,4,1,99,1
of,rhs,3,1,99,1
of,ef,5,1,99,1
of,ef,5,1,99,7
of,jh,3,1,99,1
of,wh,3,1,99,1
of,ks,3,3,99,1
of,fs,3,2,99,1
of,mf,4,1,1,1
of,af,4,1,99,1
of,gn,3,3,99,1
of,hs,1,2,99,1
of,ms,1,2,99,1
ef,afs,3,1,99,1
ef,hf,3,1,99,1
ef,rf,3,1,99,1
ef,hef,3,1,99,1
ef,ee,3,1,99,1
